Row Number,FEN,Move
650,1rq2bnr/pppb1k2/2np2p1/4p1P1/5P1P/1PNPPN2/P1PB4/R2BK2R b KQ - 2 17,c6e5
658,r4b1r/1bq1kp1p/pnp5/P2p3p/2BPp3/R3PP1N/1P1N2P1/2B1K1R1 b - - 1 22,c6d4
659,rnb1k1nr/ppp2ppp/8/3pp3/1b2P1P1/2N4P/P1PP1K2/R1B1QBNR b kq - 1 7,e5d4
662,rnb3k1/2pp4/pp4pr/5Q1p/1b2Pp2/N5NP/PPP5/R1B2nK1 w - - 3 21,g3f5
665,r1bq1b1r/p2pk2p/1p2n3/2p2ppP/1PPp1Pn1/P1N4N/3BP1P1/RQ2KB1R b KQ - 7 14,e7e6
668,rnb4r/1p1kb1Bp/p1pP3n/5pp1/P5P1/3B3P/2PP3N/R1Q1K2R w KQ - 2 19,d3h7
675,r1b1k1n1/pp4bp/n3pB2/1Npp1Pp1/8/P2PKPq1/RPP1P2P/3Q1B1R w - - 2 17,f5g6
676,rn2nb1r/pp2pk1p/2p1b1p1/3p1p2/1B1P4/P1P1P2P/1P3PPR/R2QKBN1 b Q - 0 15,e7e6
678,rn1qkb2/4pr2/p2p1p2/2p3pP/PPpP1Pbn/N3PN1P/2Q1K2R/R1B2B2 w q - 5 19,f3g5
680,rnq2bnr/Npp1pkpp/5p2/3p4/3P2b1/2Q2N2/PPP1PPPP/R1B1KB1R b KQ - 6 7,g4c8
681,rnq2k1r/2pb1p2/p2p1n2/Pp2p1pp/1PB1PP2/R1P3QP/4K3/1NB3NR w - - 0 18,c4e2
683,1rbn1r2/Pppk1pb1/B6n/4p1p1/PQ1pPN2/N4P1P/3P2P1/R1B1K1R1 w Q - 3 25,b4b8
692,rnb1kb1r/pp1qpppp/2pp4/8/4nP2/4PNPB/PPPP3P/RNBQK2R w KQkq - 1 6,f3e4
694,1n1k3r/r1pb3p/1p1PP1p1/p7/3P1p2/N3PNbB/PP1B1K2/4R2R w - - 0 25,e6d7
696,r4b1r/1p1n2p1/3pbpkn/p2pP2p/4PBPP/7B/PPP2K1R/R4QN1 b - - 2 18,g6f4
699,r1B2bnr/p4ppp/2nkb3/3pp3/p1PpP2P/5Q2/1P3PP1/RNB1K1NR b KQ - 0 15,c6f3
704,r1bqk1nr/ppn1p1bp/2pp1p2/6p1/Q1P5/N3P1PP/PP1P1P1R/R1B1KBN1 w Qkq - 1 8,a4a8
709,r1q1k3/p2p2rp/4pQ1B/1b3p2/BPP1n1n1/P6P/4PP2/RNK3NR b q - 4 21,h7f6
711,2b1kbn1/2pp2pr/6np/2PBppq1/p2P2PP/p3P3/3Q1P2/RrB1KNNR w KQ - 2 19,g4h5
717,1rq1k3/3b1p1r/2p5/Q6p/1NP1Pn2/PPb3p1/3NB2P/R1B1KR2 b Q - 0 24,c3e2
720,1nb5/rp2rk2/6p1/pPp1ppB1/2n1P2P/2P5/P5B1/1RK3NR w - - 0 26,c3d4
723,rnbqkb2/1pp1ppp1/5n1r/p2p1P1p/P2P4/4P3/1PP3PP/RNBQKBNR b KQq - 0 6,g6f4
724,1r3b1r/p1pp2pp/nP1kpq1n/5p2/PP2bPP1/R3P2B/3P3P/1NBQK1NR w K - 3 14,f4e5
728,rn3kBr/p2bn2p/2pp4/qPPPp1p1/4PP2/R6P/1PQ5/1NB2KNR b - - 0 19,d7c5
732,rq2kbn1/1p2ppp1/pP1p4/2p3Np/3PP1bP/N4rP1/1PP1BP1R/R1BQK3 b Q - 4 16,g4e2
737,qn3b1r/r1p2pp1/3p1k1p/pp1b4/1P1P1Pn1/P1P3P1/1B1QP2P/1RN1KB1R w K - 2 25,d2f4
742,rnb1Bknr/4qp1p/1p1P1b2/p1p5/P3p2P/2N1PpP1/1PPQ1R2/RNBK4 w - - 2 22,d2e3
743,r1b2q1r/pp1kppbp/n4n2/2pp1P2/2P3pP/P5PR/1P1PPK2/RNBQ1BN1 w - - 3 11,f5e6
747,r1bk4/p2n1pp1/1p2p2r/2p1Nq1P/P7/B1PK4/3P1b1P/RN3B1R w - - 2 18,e5f7
749,rnbqk2r/pppp3p/5ppb/4p3/P3P1nP/2PP1N2/1P3PP1/RNBQKB1R w KQkq - 1 7,e4d5
751,rnbq1bnr/pppkp2p/6p1/3pPp2/7P/N7/PPPP1PP1/R1BQKBNR b - - 0 6,d8g5
753,rnb2br1/1pq1k3/p1pp1p2/4p2p/PPPPK2P/B1Q2npR/4P1P1/R2N1B2 b - - 4 19,c7c6
754,r1bk1b1r/p3p2p/npp2ppn/PP1p3P/3P4/5P2/1B2q1PR/RNQ1KBN1 w Q - 0 15,c1e3
756,r1bqrk2/3n4/p1p2pnp/1p1ppNpP/1P6/N3P1P1/PBPP1PR1/R2QKB2 w Q - 1 19,b2h8
757,rn1qkbn1/pppbp3/3p1p1r/1Q5p/3P1PpP/P1P4R/1P2P1P1/RNB1KBN1 b Qq - 5 8,c6b5
759,1n1qkbn1/r3pp1r/Pppp4/5bN1/1p3PPp/R7/2PPP2P/2BQKB1R w K - 1 14,a6b7
767,rnb1k2r/p4pp1/p1p1pn2/3p2bp/4P3/Q5PP/P1PP1P1R/qNBK2N1 w kq - 4 16,a3a1
773,rnb1k1nr/ppqpbp1p/3p4/2p3p1/6P1/1P6/P1PPPP1P/R1BQKBNR w KQkq - 1 6,g4h5
775,r1b1k1nr/pp1p4/n2P1p1p/4P1p1/P1B3P1/5NKP/1PPP4/RNB1Q2R b kq - 0 18,d7c6
783,r2qkbnr/p2npppp/1p2b3/2p5/8/4P2P/PPP1QPP1/RNB1KBNR w kq - 1 9,e2e3
790,1rbqkbnr/ppp1pp2/1Q6/3p2np/P1PP3P/6PN/1P2P3/1RB1KBNR b Kk - 3 16,b7b6
793,3qkb2/p1ppnp1r/b3p3/1rP4p/3P1B1p/P7/4P1P1/RQ2KBNR b K - 1 21,g7g5
794,rnb1kb2/pp1p1p1r/7p/2pnp1p1/P3P1P1/6N1/1PP2P1P/R1BQKBNR b KQq - 1 12,g5g4
795,r1b1kb1r/2p2qp1/p3pnnp/1p1p1p2/P2R3P/6P1/NPPPPP2/R1BQKBN1 b Qkq - 6 15,f6d5
802,r3k1n1/1nQ3b1/pp4bp/4B1p1/1Pp3N1/P4P1P/4P1B1/3R1KN1 b q - 1 25,b7c7
803,2r1kb1r/3qppp1/2ppn2B/pp2n3/P2P4/NPP2PKP/2b1P3/R3QB1R w k - 4 20,f3g2
805,1nq1k1nr/rbpppp2/5b2/1N4p1/pQ6/2PP3P/PP1KP1P1/R1B2BNR b k - 1 14,b7b5
810,2bqkb1r/1pppp3/3r3n/pP2PQp1/2P3p1/R4P1P/1P2P2R/2B1KBN1 w k - 0 20,f5h3
816,1rb1kb1r/1ppp1ppp/7n/p1n1p1qP/8/2P2NP1/PP1PPP2/RNBQKB1R w KQk - 1 8,h5g6
821,r1q1kb2/2Qnp1p1/p1p1Bn2/1p3p2/1P2p2p/P1PP1Pr1/8/RNB1K1NR b - - 1 22,d7c7
823,rnbqkbnr/1p1p3p/2p1p1p1/2P2p2/p3P3/N2PB2N/PP2QPPP/R3KB1R w KQkq - 2 9,c5d6
829,1rbqkbnr/2pppp1p/5Np1/pp6/1n6/2P2P1N/PP1PP1PP/R1BQKBR1 b Qk - 1 7,h7g6
833,rn3br1/p4kp1/2b2Np1/1P1ppq1p/2p5/1P6/R1PPPPBP/2BQ1KNR b - - 1 20,e5f6
834,r1bqkb1r/1p4pp/2nppn1N/pNp1P3/B4P2/B7/P1PP2PP/1R1Q1K1R b - - 1 16,h8h6
836,1nb1k2r/rp1p3p/p1pq3n/2PNp1p1/1PP3p1/7P/P1Q1PP2/R1B1KBNR w k - 2 13,d5c6
837,r3k2r/p1p5/3bbP2/4p1p1/1P2B3/1Q1P4/PB1N3p/2R2K1R w - - 2 25,b2h8
841,rnbqk1nr/1pp2p1p/p2pp3/6p1/P7/3PP1PP/1bP2P1R/RNBQKBN1 w Qkq - 0 7,a1b1
842,r1b1n2r/3p1k2/2P1p3/pp4p1/PP1b2Pp/K2P4/4PP1P/R2Q1BR1 w - - 2 26,a3c1
846,1rbr4/1np1k1p1/4p1K1/pp4BP/Pn1pP3/N6N/RPP4P/7R b - - 1 25,h7g6
854,r3kb1r/1ppn1p1p/5qpn/p2ppP2/7P/3P2Pb/PPP1P3/RNBQKBN1 w Qkq - 1 11,h1h3
856,1Bbqk2r/p2p3p/1p2p2n/1np2p2/2P3p1/1P1P3N/P2QPPPb/RN1K1B1R b k - 5 14,g2f1
858,1r4nr/2p1p1bp/q2pPkP1/p2P1p2/2P2B2/n1p2PP1/R3BK1R/6N1 w - - 0 26,b2a3
862,rn1q1bnr/pp3kpp/2p1p3/3P3B/5P2/P1PP4/1P3P1P/RNB2KNR b - - 2 13,f7f8
865,r4b2/nQp3pB/b2q1pr1/2P1pk2/3P1P1p/2N1P1PP/PP4R1/R1BK2N1 b - - 4 23,d6c7
867,rnb1kb2/1p1pnppr/2q5/p2Bp3/2PpP2P/1P3Np1/PQ3P2/RNB1K2R b q - 8 16,d6d5
869,r1bqk1nr/ppppb3/2n1pppp/8/P4NQ1/2NBP3/1PPP1PPP/1RB1K2R b Kkq - 5 8,h6g5
872,1rq1kbr1/1b2ppp1/2p4p/p2p2n1/n1P2PPP/pP1PP3/4R3/1NQB1KNR w - - 0 23,g4f5
873,rn2kbnr/1b1ppp1Q/6p1/1p6/2p1P3/qP3N2/PRPP1PPP/2B1KBR1 w kq - 0 11,b2a3
875,r1bq1b2/1p1pk1pr/p6p/2pPp3/P3pPn1/NP4P1/R2P2KP/2B1QBNR w - - 0 17,f1g2
877,rnb4r/3p3p/p1p2n2/4pP1P/Pp4Pk/1N3P1B/2P1Q2b/R2K4 w - - 0 25,h3g4
878,r1b5/1ppp2pr/p4qkn/1Bb1p2p/P3Pp1P/1nN2P2/1B1P2P1/R2QK1NR w Q - 2 18,c2b3
879,1n1qkbnr/1r1ppp1p/6p1/ppp4P/4bPP1/P1P4R/1P1PP1B1/RNBQK1N1 w Qk - 1 12,f2f3
880,r2R1r2/pkn3pp/3b2Pn/1N6/1BbP1p2/4Pp2/1P1K1P1P/1R2Q2R w - - 4 25,e2f3
882,rnbk1bn1/1B4pr/p2pp3/2p1P1Np/2Q5/6P1/1PPP3P/2R2K1R b - - 2 18,a6b5
883,r1bk1br1/pp2pppp/3p4/1q1n4/1Ppn4/8/PQPBPPPP/R2NKBNR w KQ - 0 12,b2b5
884,rnbqkbn1/p2ppp2/1p1r4/6Pp/2pNP3/3P2P1/PPP3BP/RNBQK2R b KQq - 0 9,h5g4
892,2Q2bnr/1rpq4/3k1p1p/3np1p1/1P2P3/7P/P2P1P1P/RNB1KBR1 b Q - 1 23,d5c7
893,r1b1k3/p2pppb1/2n3pB/q2n3p/p2p2P1/R3P2P/1PP2P2/1Q2KBNR w Kq - 2 13,h6f8
895,r1b1kb1r/ppppn1pp/n3p3/7q/2P2p2/NP1P1P1P/PR2P1P1/2BQKBNR b Kkq - 2 8,h5h1
896,rn3b2/p2kpppr/5n2/qNp1p2p/P1PP3P/1p3b1K/RP2PPPR/2Q2BN1 b - - 4 20,f3h1
902,1rq1kb2/2p1ppp1/2Rp3n/7p/n1NP1P2/4PNP1/1P4KP/2BQ3R w - - 1 21,d6d8
903,r1bqkb1r/3n1pp1/1ppp3p/p1Q1p3/2P3nP/4PNPB/PP1P1P1R/RNB1K3 b Qk - 1 12,c6b5
907,2bqkb2/rp1pp1p1/8/2pn1p2/pn4B1/PPP4N/R1QPPP1p/1NB1K2R w K - 2 15,g3f5
909,Bn3k2/2pp1p2/b2Ppr1P/pp4p1/7P/PK2n3/3QPP2/2B1b3 b - - 0 25,a5b4
910,rnbk1bnr/pp1pppp1/q7/2p4p/2P2P1P/3P4/PP1NP1P1/RNB1KB1R b KQ - 0 9,h5g4
915,r2k2n1/6q1/2n3p1/pp4P1/P1pPp2P/2P1PNbb/1PN2P2/1RBK1B1R w - - 1 26,c2d4
916,r1bqkbr1/p1ppppp1/np6/1B1n2Np/1P2P3/5P2/P1PP2PP/RNBQK2R b KQq - 2 7,d5b6
919,rnb3nr/p7/2q1k1p1/bp2p2p/P2pPP1P/3P4/1PP1KBP1/R5NR w - - 2 18,e4e5
921,rnn5/pbpk2br/2q4p/3pp3/1pP2PpP/BP2P1P1/P2PB2R/RN1K2N1 b - - 0 21,g4h3
928,rn2k2r/pb2n3/2pb1p1p/4pP2/1pp1P1p1/3B2P1/PP1P1K1P/RNBRN3 b kq - 1 18,g4h3
935,1nbq1knr/r2pp1b1/p1p5/1p4pp/1P1PpP1P/5N2/P1PQ2P1/R1B1KBNR w - - 0 14,d2g5
936,rnbr2k1/1p1pn3/p4p2/2p3pp/3PPqPP/PP3P1R/2P2KB1/R2NQ1N1 w - - 6 21,g4f5
939,r2qkbr1/p1ppp3/bp3P2/7p/3Pn1PP/N2n4/PPP1P2R/R1BQKBN1 w q - 3 14,f6e7
942,rnqk1bn1/p3ppp1/3p3r/1p2P3/1P1P1P1p/4Rb2/2PQNKPP/BN2R3 w - - 8 21,d2f3
945,rn1qkbnr/pp3pp1/2p5/4p2p/3pP1b1/Q1P2NP1/PP1P1P1P/RNB1KB1R w KQkq - 0 10,f3g4
947,r1n1k3/p2n2bp/6pP/1pPpp3/2QNprb1/2P3R1/PB1P1PB1/RN2K3 b Qq - 6 18,g4c4
949,1rb1k2r/1p1p1p2/1qnbpn1p/2B1P1p1/1p1P4/P4QP1/2P2PBP/RN2K1NR b KQk - 0 13,c6d5
953,rnb1k1nr/1ppp1p2/6pp/p3p3/2P4P/b1N2PP1/PP1P1P2/R1BQKB1R b KQkq - 0 8,a3c1
960,rnbq1b1r/3ppkpp/p4n2/1pp2p2/7P/4PN2/PPPP1PP1/RNBQKBR1 w Q - 2 7,h4g5
961,r2k1b2/q2b2rp/1p1P2pn/P1p5/3P2P1/4P2N/P3N2P/R1BK1BR1 w - - 3 23,d6c7
962,n1b1q1r1/6kp/rp3b1n/p1P1pPP1/P1pP4/N1P1P3/3Q3P/R1BK1N1R w - - 4 22,d2d4
965,rn1q3r/p2k1pbp/b3p3/2ppP1p1/2P3PP/NP6/P2P1PQ1/R1B1K1NR w - - 1 21,g4h5
966,2b2qnr/prpp4/1p2k1p1/2b1pp1p/PQPP1P1P/R4N2/1P1KP1PR/2B2BN1 w - - 3 20,c4b5
972,1rbq1b1r/p2k4/np1p1p1p/2p1p1pB/5P2/PP1PB2P/2P2NP1/RNQK2R1 b - - 2 17,h6g5
975,r1r2k2/8/n1pR4/p5pp/pq1P2n1/2P1P3/1P2P1BP/1NB1K2R w K - 6 26,b1c3
976,rBb1kbnr/pp1p4/2q1pp2/P1p3pp/1P6/R2P4/2PQPPPP/1N2KBNR w Kkq - 0 10,b8c6
977,rnbk1bn1/1p2p3/6N1/p2p1p1p/P1rB4/1PpQPNPP/2P2P2/2R2RK1 b - - 2 24,h8g8
978,rnbqkb1r/1pp3p1/p2p1n1p/3Pp3/2P5/PP2p3/4PPPP/RNB1KBNR w KQkq - 0 9,d5e6
981,rn1qk1n1/3bpp1r/2p4b/pp1p2pp/2P1B1PP/P4Q2/NP1PPP2/R1B2KNR b q - 2 12,g5g4
983,5rnr/p1pkb2p/n3b3/1p1p1p1p/P1BpPB1q/1P4PP/2P1NP2/RNK4R b - - 2 18,h4f2
985,rnb1k3/pppp1ppr/7n/4p2p/3P4/2b3Pq/2PBPP1P/RNQ1KB1R w KQq - 0 11,h2h3
986,3qkbnr/r3p1p1/n1ppN2p/pp3p2/2P1b2P/P2PPP2/NP2B1P1/R1BQK2R b KQ - 1 14,d8e6
987,rn2kbr1/p1pq1ppp/1p5n/3pp1B1/1P1Pb2P/N4R2/P1P1PPP1/2RQKBN1 w q - 0 11,f3e4
988,rnb2knr/2pp1pp1/pp5p/4p3/3P4/N2QP1q1/1PP2PPP/R1B1KB1R b - - 2 10,g3g1
991,rnbqkb1r/ppp1pppp/3p4/8/4n3/2N1PNP1/PPPPBP1P/R1BQK2R w KQkq - 7 6,f3e4
992,rn1k1bnr/1p5p/3PQNp1/p1p1p1B1/1q5P/8/PPp1PPP1/R3KB1R w KQ - 0 18,e6g8
993,r1bqkbnr/1p1ppp2/p7/2p2PBp/PP3npN/5BP1/2PQPK1P/RN5R b k - 1 17,h5g4
996,1nbqkb1r/rp1ppppp/7n/2p3Q1/p1P1P1P1/P2P3N/1P3P1P/RNB1KB1R w KQk - 0 10,g5g3
997,3rk1n1/2pq1p1r/pQ4pp/1p1p4/P5bP/1P1P1P1N/1B1NP1P1/2KR1B1R b - - 10 24,d7b6
999,rnb1kbnr/p2pp1p1/1p6/7p/P2N1qp1/7B/1PPPPP1P/R1BQK2R w KQkq - 5 10,e2f3
